"","Precinct","Area","Population","TotalA","White","Black","Native","AsPac","Hisp","WhiteA","BlackA","NativeA","AsPacA","HispA"
"55",88,42391696.9605,50657,23,19054,22465,228,3352,7820,3,17,0,1,1
"56",90,66150207.0334,117944,29,80700,10483,818,5606,38298,1,11,0,0,17
"57",94,65630039.2983,55141,11,45114,1532,175,3234,8721,4,5,0,1,1
"58",100,205207232.517,48062,17,29912,12791,167,1350,7210,3,11,0,0,3
"59",101,84672899.2074,66916,30,19176,35166,531,1275,16892,1,26,0,0,3
"60",102,133314470.842,144233,63,53896,14932,1820,31510,58868,5,12,0,14,32
"61",103,100921594.951,103662,13,12143,47330,1442,17436,28168,0,12,0,0,1
"62",104,210504683.703,170500,32,119953,4332,935,13841,59002,8,6,0,0,18
"63",105,347336805.276,186770,106,33669,106685,938,27575,22233,5,90,2,1,8
"64",106,172528622.246,122078,126,43788,22458,1652,22561,28191,17,44,1,24,35
"65",107,207501246.614,152599,41,65456,20906,717,47492,26634,7,18,0,10,6
"66",108,139601011.654,115101,5,50516,3230,942,37616,39531,1,0,0,0,3
"67",109,322684590.153,246890,46,94512,6562,556,122841,41026,11,7,0,6,22
"68",110,112103959.243,171578,67,50896,11764,1696,55450,91339,3,10,0,2,52
"69",111,260154567.491,116912,25,62384,2655,99,45869,11779,5,5,0,5,10
"70",112,88945075.9453,112314,8,71688,3224,223,29271,15199,0,3,0,0,5
"71",113,389636744.645,122878,13,3194,107066,698,2761,10141,0,13,0,0,0
"72",114,179997958.734,202136,75,116524,23276,1171,29281,54227,20,23,1,8,21
"73",115,113293878.523,170898,20,65987,13354,1920,27968,108867,1,1,0,0,18
"74",120,232534766.785,113360,38,59041,28460,695,8946,30011,4,26,0,0,8
"75",121,475714745.649,119378,39,74506,16624,554,13222,27274,6,21,1,1,10
"76",122,454780943.434,137923,24,118806,3373,325,8465,15795,8,8,0,0,8
"77",123,460788163.525,98068,30,89324,1400,121,4531,7970,20,6,0,0,4
